apple,donut,chicken,honey,oil,cooking oil,low fat yogurt,,,,,,
red wine,apple,pasta,pepper,eggs,donut,shampoo,,,,,,
banana,light cream,chicken,extra dark donut,,,,,,,,,
banana,olive oil,butter,frozen smoothie,low fat yogurt,,,,,,,,
pizza,eggs,cooking oil,,,,,,,,,,
carrot,fromage blanc,donut,,,,,,,,,,
donut,ground beef,carrot,,,,,,,,,,
carrot,tomato sauce,hot dog,olive oil,oil,donut,,,,,,,
carrot,banana,donut,,,,,,,,,,
carrot,hot dog,olive oil,almonds,eggs,,,,,,,,
donut,banana,salmon,spinach,carrot,,,,,,,,
pizza,red wine,cooking oil,,,,,,,,,,
pizza,sandwich,,,,,,,,,,,
carrot,carrot,chicken,eggs,pancakes,,,,,,,,
red wine,hot dog,,,,,,,,,,,
apple,,,,,,,,,,,,
apple,broccoli,carrot,banana,,,,,,,,,
carrot,fresh bread,,,,,,,,,,,
carrot,green tea,,,,,,,,,,,
donut,ground beef,hot dog,eggs,cookies,mushroom cream sauce,,,,,,,
donut,cookies,,,,,,,,,,,
carrot,banana,nonfat banana,pancakes,honey,cooking oil,frozen smoothie,brownies,tomato juice,,,,
pizza,broccoli,carrot,strong cheese,muffins,eggs,sandwich,yogurt cake,light mayo,green tea,,,
carrot,chicken,eggs,,,,,,,,,,
donut,,,,,,,,,,,,
donut,carrot,eggs,rice,,,,,,,,,
pizza,eggs,,,,,,,,,,,
pizza,french wine,green tea,,,,,,,,,,
sandwich,pancakes,light mayo,,,,,,,,,,
donut,eggs,sandwich,energy drink,,,,,,,,,
apple,chicken,eggs,light cream,cooking oil,cereals,green tea,,,,,,
apple,soda,,,,,,,,,,,
carrot,green tea,,,,,,,,,,,
donut,,,,,,,,,,,,
sandwich,pancakes,,,,,,,,,,,
carrot,apple,eggs,donut,frozen smoothie,protein bar,,,,,,,
pizza,grated cheese,herb & pepper,red wine,ground beef,carrot,donut,avocado,rice,cereals,pancakes,toothpaste,green tea
pizza,hot dog,eggs,,,,,,,,,,
banana,salmon,cereals,,,,,,,,,,
carrot,banana,cake,brownies,,,,,,,,,
pizza,eggs,barbecue sauce,,,,,,,,,,
carrot,eggplant,cereals,antioxydant juice,,,,,,,,,
strawberries,green tea,,,,,,,,,,,
donut,hot dog,carrot,cake,,,,,,,,,
banana,tea,frozen smoothie,tomato juice,,,,,,,,,
pizza,sandwich,,,,,,,,,,,
apple,pepper,butter,whole wheat rice,cake,donut,frozen smoothie,,,,,,
carrot,energy bar,,,,,,,,,,,
red wine,hot dog,,,,,,,,,,,
pizza,eggs,,,,,,,,,,,
carrot,meatballs,french wine,green tea,pancakes,light mayo,,,,,,,
cake,oil,,,,,,,,,,,
sandwich,,,,,,,,,,,,
sandwich,champagne,hot dogs,strawberries,,,,,,,,,
pizza,ham,parmesan cheese,ground beef,hot dog,eggs,cookies,,,,,,
red wine,honey,rice,donut,sandwich,brownies,body spray,light mayo,,,,,
pizza,eggs,cake,cereals,,,,,,,,,
sandwich,pancakes,,,,,,,,,,,
carrot,donut,,,,,,,,,,,
donut,grated cheese,carrot,olive oil,green tea,,,,,,,,
carrot,tomato sauce,hot dog,carrot,apple,olive oil,mashed potato,fresh bread,mayonnaise,green tea,,,
apple,pasta,carrot,olive oil,pancakes,hot dog,low fat yogurt,,,,,,
donut,apple,pasta,hot dog,,,,,,,,,
donut,,,,,,,,,,,,
red wine,tomato sauce,hot dog,donut,olive oil,sandwich,salt,asparagus,,,,,
apple,banana,,,,,,,,,,,
donut,escalope,,,,,,,,,,,
pizza,salmon,pancakes,sandwich,frozen smoothie,fresh bread,mint,,,,,,
car,city,ciaz,i20,i10,,,,,,,,
car,city,ciaz,i20,,,,,,,,,
car,indica,ciaz,i22,city,,,,,,,,
car,indica,ikon,i20 Hyundai,city,,,,,,,,
car,city,ikon,city,city,,,,,,,,
car,city,city,i20 Hyundai,ikon,,,,,,,,
car,i20,,i10 Hyundai,ikon,,,,,,,,
car,ciaz,i10,i10 Hyundai,ikon,,,,,,,,
car,ciaz,indica,i10 Hyundai,city,,,,,,,,
car,indica,indica,indica,ciaz,,,,,,,,
car,ciaz,indica,i10 Hyundai,ciaz,,,,,,,,
car,indica,indica,i10 Hyundai,ciaz,,,,,,,,
bicycle,scooty,luna,bike,luna,,,,,,,,
bicycle,scooty,luna,bike,vespa,,,,,,,,
bicycle,bike,scooty,bike,,,,,,,,,
bicycle,bike,scooty,scooty pept,,,,,,,,,
bicycle,bike,scooty,scooty pept,,,,,,,,,
bicycle,bike,scooty,scooty pept,,,,,,,,,
bicycle,bike,scooty,scooty pept,,,,,,,,,
bicycle,scooty,bike,scooty,,,,,,,,,
bike,scooty,Honda Bike,vespa scooter,,,,,,,,,
bike,scooty,Honda Bike,vespa scooter,,,,,,,,,
bike,scooty,Honda Bike,vespa scooter,,,,,,,,,
bike,scooty,Ranger bike,vespa scooter,,,,,,,,,
bike,hero,Ranger bike,vespa scooter,,,,,,,,,
bike,scooty pept,Ranger bike,vespa scooter,,,,,,,,,
bike,scooty pept,Hero bike,scooty,,,,,,,,,
bike,scooty pept,Hero bike,scooty pept,,,,,,,,,
bike,scooty pept,Hero bike,,,,,,,,,,
bicycle,scooty pept,Hero bike,,,,,,,,,,
toothbrush,paste,soap,shaving cream,,,,,,,,,
toothbrush,,soap,oil,,,,,,,,,
toothbrush,Colgate ToothPaste,shaving cream,shampoo,,,,,,,,,
toothbrush,Colgate ToothPaste,soap,shaving cream,,,,,,,,,
toothbrush,Patanjali Natural,shampoo,Orab B,,,,,,,,,
toothbrush,Dove,Orab B,oil,,,,,,,,,
toothbrush,Patanjali Natural,comb,Dove,,,,,,,,,
toothbrush,Dove,Orab B,soap,,,,,,,,,
toothbrush,Patanjali Natural,brush stand,Orab B,,,,,,,,,
toothbrush,Dove,shaving cream,shaving cream,,,,,,,,,
toothbrush,Pepsodent,brush stand,soap,,,,,,,,,
toothbrush,Dove,comb,shampoo,,,,,,,,,
toothbrush,Orab B,comb,shaving cream,,,,,,,,,
laptop,dell inspiron,lenovo p110,,,,,,,,,,
laptop,dell inspiron,HP Touchscreen,,,,,,,,,,
laptop,lenovo p110,HP Touchscreen,,,,,,,,,,
laptop,Hp Elite,dell inspiron,,,,,,,,,,
laptop,mouse,mouse,,,,,,,,,,
laptop,lenovo p110,dell inspiron,,,,,,,,,,
laptop,mouse,dell inspiron,,,,,,,,,,
laptop,dell inspiron,Hp Elite,,,,,,,,,,
laptop,mouse,,,,,,,,,,,
laptop,dell inspiron,lenovo p110,,,,,,,,,,
laptop,cell phone,dell inspiron,,,,,,,,,,
laptop,Hp Elite,dell inspiron,,,,,,,,,,
laptop,Hp Elite,dell inspiron,,,,,,,,,,
laptop,Hp Elite,lenovo p110,,,,,,,,,,
laptop,lenovo p110i,cell phone,,,,,,,,,,
laptop,lenovo p110i,dell inspiron,,,,,,,,,,
laptop,lenovo p110i,mouse,,,,,,,,,,
laptop,Hp Elite,lenovo p110,,,,,,,,,,
laptop,cell phone,mouse,,,,,,,,,,
laptop,mouse,mouse,,,,,,,,,,
laptop,dell inspiron,Hp Elite,,,,,,,,,,
